CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;01/01/2022;1;31/01/2022;4511;;;;;;;;;;;;;;;;561929944.4;554879108.67;2800149;198.160.565.266.348;0.000129;0;0.002201;-0.003031;0.005232;0
00.332.266/0001-31;01/02/2022;1;28/02/2022;4494;;;;;;;;;;;;;;;;561300539.33;555145637.12;2800149;19.825.574.893.336;0.000213;0;0.004113;0.00048;0.003633;0
00.332.266/0001-31;01/03/2022;2;31/03/2022;4424;4383;41;;;;;;;;;;;;;;561331342.9;554940922.77;2800149;198.182.640.555.913;0.000171;0;0.003767;-0.000369;0.004136;0
00.332.266/0001-31;01/04/2022;1;30/04/2022;4386;;;;;;;;;;;;;;;;566565665.81;555304531.49;2800149;198.312.493.903.003;0.000171;0;0.004187;0.000655;0.003532;0
00.332.266/0001-31;01/05/2022;1;31/05/2022;4304;;;;;;;;;;;;;;;;562259241.46;555123785.59;2800149;198.247.945.230.772;0.000171;0;0.003457;-0.000325;0.003782;0
00.332.266/0001-31;01/06/2022;1;30/06/2022;4224;4180;44;;;;;;;;;;;;;;562559970.39;555534308.48;2800149;198.394.552.747.015;0.000171;0;0.004523;0.00074;0.003783;0
00.332.266/0001-31;01/07/2022;1;31/07/2022;4171;;;;;;;;;;;;;;;;563597402.6;557034773.89;2800149;198.930.404.735.605;0.000189;0;0.00633;0.002701;0.003629;0
00.332.266/0001-31;01/08/2022;1;31/08/2022;4131;;;;;;;;;;;;;;;;561656160.28;555549403.82;2800149;198.399.943.652.998;0.000189;0;-5.3E-05;-0.002667;0.002614;0
00.332.266/0001-31;01/09/2022;1;30/09/2022;4076;4034;42;;;;;;;;;;;;;;562598872.43;555257143.9;2800149;198.295.570.664.275;0.000189;0;0.004262;-0.000526;0.004788;0
00.332.266/0001-31;01/10/2022;1;31/10/2022;4033;;;;;;;;;;;;;;;;562503758.46;556259429.91;2800149;198.653.510.906.027;0.000189;0;0.004679;0.001805;0.002874;0
