CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;01/11/2022;1;30/11/2022;3991;;;;;;;;;;;;;;;;562330518.19;556120262.6;2800149;198.603.810.940.061;0.000189;0;0.002519;-0.00025;0.002769;0
00.332.266/0001-31;01/12/2022;1;31/12/2022;3930;3889;41;;;;;;;;;;;;;;547761960.25;538371403.16;2800149;192.265.269.869.568;0.000195;0;-0.025396;-0.031916;0.00652;0
00.613.094/0001-74;01/01/2022;1;31/01/2022;430;414;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1132559.66;-7949662.93;758400;-104.821.504.878.692;0;0;-0.0036;-0.0036;0;0
00.613.094/0001-74;01/02/2022;1;28/02/2022;431;415;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1142740.17;-8707885.16;758400;-114.819.160.864.979;0;0;-0.0524;-0.0524;0;0
00.613.094/0001-74;01/03/2022;1;31/03/2022;439;423;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1153083.58;-9092234.96;758400;-119.887.064.345.992;0;0;-0.0441;-0.0441;0;0
00.613.094/0001-74;01/04/2022;1;30/04/2022;456;440;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1160682.67;-9546407.61;758400;-125.875.627.768.987;0;0;-0.05;-0.05;0;0
00.613.094/0001-74;01/05/2022;1;31/05/2022;455;439;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1163650.85;-9870075.03;758400;-130.143.394.382.911;0;0;-0.0339;-0.0339;0;0
00.613.094/0001-74;01/06/2022;1;30/06/2022;452;436;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1166625.97;-10251131.4;758400;-135.167.871.835.443;0;0;-0.0386;-0.0386;0;0
00.613.094/0001-74;01/07/2022;1;31/07/2022;457;441;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1167737.02;-10622559.8;758400;-140.065.398.206.751;0;0;-0.0362;-0.0362;0;0
00.613.094/0001-74;01/08/2022;1;31/08/2022;492;476;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1163449.76;-10950151.5;758400;-144.384.909.018.987;0;0;-0.0308;-0.0308;0;0
00.613.094/0001-74;01/09/2022;1;30/09/2022;508;492;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1158093.8;-11316865.81;758400;-149.220.277.030.591;0;0;-0.0335;-0.0335;0;0
00.613.094/0001-74;01/10/2022;1;31/10/2022;513;497;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1152267.05;-11662557.74;758400;-15.377.845.121.308;0;0;-0.0305;-0.0305;0;0
00.613.094/0001-74;01/11/2022;1;30/11/2022;664;649;8;0;2;0;0;0;5;0;0;0;0;0;0;0;1149012;-12026292.32;758400;-158.574.529.535.865;0;0;-0.0312;-0.0312;0;0
00.613.094/0001-74;01/12/2022;1;31/12/2022;710;694;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1151483.07;-12075566.9;758400;-159.224.247.099.156;0;0;-0.0041;-0.0041;0;
00.762.723/0001-28;01/01/2022;1;31/01/2022;3633;;;;;;;;;;;;;;;;122690672.28;119008191.84;2902772;409.981.189.841.986;0.000372;0;-0.053224;-0.053755;0.000531;0
00.762.723/0001-28;01/02/2022;1;28/02/2022;3568;;;;;;;;;;;;;;;;121441612.88;118462423.71;2902772;408.101.027.948.458;0.000374;0;-0.004586;-0.004586;0;0
00.762.723/0001-28;01/03/2022;1;31/03/2022;3488;3478;6;;;;;;3;;;;1;;;;121435525.09;118436525.43;2902772;408.011.808.815.849;0.000374;0;-0.000219;-0.000219;0;0
00.762.723/0001-28;01/04/2022;1;30/04/2022;3427;;;;;;;;;;;;;;;;120706596.04;118328149.81;2902772;407.638.456.654.536;0.000374;0;-0.000915;-0.000915;0;0
00.762.723/0001-28;01/05/2022;1;31/05/2022;3399;;;;;;;;;;;;;;;;120046115.01;117762540.94;2902772;405.689.943.750.319;0.000376;0;-0.00478;-0.00478;0;0
00.762.723/0001-28;01/06/2022;1;30/06/2022;3356;3346;6;;;;;;3;;;;1;;;;119308294.85;117123446.31;2902772;403.488.273.657.042;0.000378;0;-0.005427;-0.005427;0;0
00.762.723/0001-28;01/07/2022;1;31/07/2022;3329;;;;;;;;;;;;;;;;118762832.93;116560622.53;2902772;401.549.355.340.344;0.00038;0;-0.004805;-0.004805;0;0
00.762.723/0001-28;01/08/2022;1;31/08/2022;3309;;;;;;;;;;;;;;;;118066846.8;115874720.49;2902772;399.186.434.518.453;0.000382;0;-0.005885;-0.005885;0;0
00.762.723/0001-28;01/09/2022;1;30/09/2022;3287;3277;6;;;;;;3;;;;1;;;;116970374.61;115306542.84;2902772;397.229.072.210.976;0.000384;0;-0.004903;-0.004903;0;0
00.762.723/0001-28;01/10/2022;1;31/10/2022;3279;;;;;;;;;;;;;;;;116399881.92;114700976.77;2902772;395.142.907.434.687;0.000418;0;-0.005252;-0.005252;0;0
00.762.723/0001-28;01/11/2022;1;30/11/2022;3239;;;;;;;;;;;;;;;;106232917.3;104537496.57;2902772;360.129.891.600.167;0.000458;0;-0.088608;-0.088608;0;0
00.762.723/0001-28;01/12/2022;1;31/12/2022;3229;3219;6;;;;;;3;;;;1;;;;105597909.86;105535568.13;2902772;363.568.231.090.833;0.000454;0;0.009547;0.009547;0;0
00.868.235/0001-08;01/01/2022;1;31/01/2022;7;;;;;;;;;;;;;;;;103505276;103372804.55;54316;190.317.410.247.441;0.000492;0;0.004147;0.004147;0;0
00.868.235/0001-08;01/02/2022;1;28/02/2022;7;;;;;;;;;;;;;;;;103908878.86;103792922.1;54316;191.090.879.483.025;0.00049;0;0.004064;0.004064;0;0
00.868.235/0001-08;01/03/2022;1;31/03/2022;7;3;;;;;;;2;;;;1;1;;;103320116.68;102785042.05;54316;189.235.293.559.909;0.000495;0;-0.005524;-0.00971;0.004186;0
00.868.235/0001-08;01/04/2022;1;30/04/2022;7;;;;;;;;;;;;;;;;103521350.08;102963803.85;54316;189.564.408.001.326;0.000494;0;0.005967;0.001739;0.004228;0
00.868.235/0001-08;01/05/2022;1;31/05/2022;7;;;;;;;;;;;;;;;;103705229.14;103156808.33;54316;189.919.744.329.479;0.000565;0;0.006094;0.001874;0.00422;0
00.868.235/0001-08;01/06/2022;1;30/06/2022;7;3;;;;;;;2;;;;;1;1;;103884378.47;103228587.18;54316;190.051.894.800.795;0.000565;0;0.005961;0.000696;0.005265;0
00.868.235/0001-08;01/07/2022;1;31/07/2022;7;;;;;;;;;;;;;;;;104006330.8;103082139.69;54316;189.782.273.528.979;0.000566;0;0.006474;-0.001419;0.007893;0
00.868.235/0001-08;01/08/2022;1;31/08/2022;7;;;;;;;;;;;;;;;;103903910.34;103249675.49;54316;190.090.720.027.248;0.000565;0;0.006894;0.001625;0.005269;0
00.868.235/0001-08;01/09/2022;1;30/09/2022;7;3;;;;;;;2;;;;;1;1;;103917492.86;103102754.94;54316;189.820.227.815.008;0.000565;0;0.005416;-0.001423;0.006839;0
00.868.235/0001-08;01/10/2022;1;31/10/2022;7;;;;;;;;;;;;;;;;103916962.38;103165125.65;54316;189.935.057.165.476;0.000565;0;0.0064;0.000605;0.005795;0
00.868.235/0001-08;01/11/2022;1;30/11/2022;7;;;;;;;;;;;;;;;;109731140.14;109017198.23;54316;200.709.180.039.031;0.000535;0;0.06199;0.056725;0.005265;0
00.868.235/0001-08;01/12/2022;1;31/12/2022;7;3;;;;;;;2;;;;;1;1;;109119590.84;108262697.3;54316;199.320.084.873.702;0.000539;0;-0.000942;-0.006921;0.005979;0
01.201.140/0001-90;01/01/2022;1;31/01/2022;19198;;;;;;;;;;;;;;;;1131061086.63;1119557783.93;12203832;917.382.166.462.141;8.3E-05;0;0.011216;0.002823;0.008393;0
01.201.140/0001-90;01/02/2022;1;28/02/2022;19186;;;;;;;;;;;;;;;;1127661900.09;1120197062.39;12203832;917.906.000.664.382;8.3E-05;0;0.005476;0.000571;0.004905;0
01.201.140/0001-90;01/03/2022;1;31/03/2022;19046;19018;20;;;;2;;;;;;3;3;;;1129622021.61;1121419876;12203832;918.907.992.178.194;8.3E-05;0;0.006539;0.001092;0.005447;0
01.201.140/0001-90;01/04/2022;1;30/04/2022;19040;;;;;;;;;;;;;;;;1130586259.38;1120646877.33;12203832;918.274.585.662.929;8.3E-05;0;0.006385;-0.000689;0.007074;0
01.201.140/0001-90;01/05/2022;1;31/05/2022;19130;;;;;;;;;;;;;;;;1129628513.87;1120247855.81;12203832;917.947.621.542.152;8.3E-05;0;0.006069;-0.000356;0.006425;0
01.201.140/0001-90;01/06/2022;1;30/06/2022;19340;19314;18;;;;3;;;;;;3;2;;;1128684570.33;1119895771.83;12203832;917.659.118.734.181;8.3E-05;0;0.005254;-0.000314;0.005568;0
01.201.140/0001-90;01/07/2022;1;31/07/2022;19303;;;;;;;;;;;;;;;;1128318877.39;1119730179.17;12203832;917.523.429.665.371;8.3E-05;0;0.005628;-0.000148;0.005776;0
01.201.140/0001-90;01/08/2022;1;31/08/2022;19420;;;;;;;;;;;;;;;;1128935024.81;1119952411.71;12203832;917.705.530.287.536;8.3E-05;0;0.006192;0.000198;0.005994;0
01.201.140/0001-90;01/09/2022;1;30/09/2022;19564;19535;20;;;;4;;;;;;3;2;;;1130526473.52;1121743483.26;12203832;919.173.160.741.642;8.3E-05;0;0.007265;0.001599;0.005666;0
01.201.140/0001-90;01/10/2022;1;31/10/2022;19597;;;;;;;;;;;;;;;;1131726403.51;1122584730.69;12203832;919.862.491.297.815;8.3E-05;0;0.006734;0.00075;0.005984;0
01.201.140/0001-90;01/11/2022;1;30/11/2022;19548;;;;;;;;;;;;;;;;1130275819.53;1120589958.8;12203832;918.227.945.779.653;8.3E-05;0;0.004746;-0.001777;0.006523;0
01.201.140/0001-90;01/12/2022;2;31/12/2022;19484;19461;15;1;;;2;;;;;;3;2;;;437068395.08;430849356.99;4709082;914.932.797.921.123;0.000214;0;-0.003589;-0.003589;0;0
01.235.622/0001-61;01/01/2022;3;31/01/2022;57;;;;;;;;;;;;;;;;3011575108.25;2569068488.97;935878;274.508.909.170.853;0.000807730821077473;;0.005793;0.005793;0;
01.235.622/0001-61;01/02/2022;1;25/02/2022;57;;;;;;;;;;;;;;;;3057466911.72;2591380519.6;935878;276.892.983.871.829;0.000747476518924743;;0.008685;0.008684;1,00E-06;
01.235.622/0001-61;01/03/2022;2;31/03/2022;57;42;;;;;;;;;;;;2;13;;3146591523.75;2663328668.27;935878;284.580.753.930.534;0.000849431899619628;;0.027765;0.027764;1,00E-06;
01.235.622/0001-61;01/04/2022;1;29/04/2022;57;;;;;;;;;;;;;;;;3138956725.31;2587128917.05;935878;276.438.693.617.117;0.000776175186619504;;0.006824;-0.02861;0.035434;
01.235.622/0001-61;01/05/2022;2;31/05/2022;57;;;;;;;;;;;;;;;;3048957283.34;2606845076.01;935878;278.545.395.447.911;0.000866413056450976;;0.00762;0.00762;;
01.235.622/0001-61;01/06/2022;1;30/06/2022;57;42;;;;;;;;;;;;2;13;;3154308137.47;2591794648.75;935878;276.937.234.206.809;0.000838172353294932;;0.007398;-0.005773;0.013171;
01.235.622/0001-61;01/07/2022;2;29/07/2022;57;42;;;;;;;;;;;;2;13;;3165216984.89;2611026661.1;935878;278.992.204.229.611;0.000826429278623654;;0.020591;0.00742;0.013171;
01.235.622/0001-61;01/08/2022;1;31/08/2022;57;;;;;;;;;;;;;;;;3168061773.27;2632589361.17;935878;281.296.211.810.727;0.000905222791351284;;0.008259;0.008258;1,00E-06;
01.235.622/0001-61;01/09/2022;2;30/09/2022;57;42;;;;;;;;;;;;2;13;;3165612969.07;2651173386.82;935878;283.281.943.460.579;0.000827491887519067;;0.00706;0.007059;1,00E-06;
01.235.622/0001-61;01/10/2022;1;31/10/2022;57;;;;;;;;;;;;;;;;3169351080.13;2669579504.22;935878;285.248.665.340.995;0.000821786527253472;;-0.002142;-0.002142;;
01.235.622/0001-61;01/11/2022;1;30/11/2022;57;;;;;;;;;;;;;;;;3116169954.85;2685049375.2;935878;286.901.644.787.034;0.000789078193335713;;0.005795;0.005794;1,00E-06;
01.235.622/0001-61;01/12/2022;2;30/12/2022;57;42;;;;;;;;;;;;2;13;;3261308819.93;2675838199.25;9.498.220.000.031;28.171.996.429.239;0.000876021098980131;;0.026589;-0.00343;0.030019;
01.356.517/0001-80;01/01/2022;1;31/01/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251672980.57;153461641.45;56701;270.650.678.912.188;0.0004;0;0.038687;0.038687;;
01.356.517/0001-80;01/02/2022;1;28/02/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253790526.18;157190991.11;56701;277.227.899.172.854;0.0004;0;0.024302;0.024302;;
01.356.517/0001-80;01/03/2022;1;31/03/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259516281.47;163396494.2;56701;288.172.156.046.631;0.0004;0;0.039477;0.039477;;
01.356.517/0001-80;01/04/2022;1;30/04/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265303936.99;169638403.5;56701;299.180.620.271.247;0.0004;0;0.038201;0.038201;;
01.356.517/0001-80;01/05/2022;1;30/04/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268735729.07;175982675.88;56701;310.369.615.844.518;0.0004;0;0.037399;0.037399;;
01.356.517/0001-80;01/06/2022;1;30/06/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;274369490.57;149648623.81;56701;263.925.898.679.036;0.0004;0;0.03623;0.03623;;
01.356.517/0001-80;01/07/2022;1;30/06/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;273874676.12;156468500.07;56701;275.953.687.007.284;0.0004;0;0.045573;0.045573;;
01.356.517/0001-80;01/08/2022;1;31/08/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279543205.64;163296494.98;56701;287.995.793.689.706;0.0004;0;0.043638;0.043638;;
01.356.517/0001-80;01/09/2022;1;30/09/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285325793.9;170268185.09;56701;30.029.132.659.036;0.0004;0;0.042693;0.042693;;
01.356.517/0001-80;01/10/2022;1;31/10/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291104695.95;177207314.86;56701;312.529.434.860.055;0.0004;0;0.040754;0.040754;;
01.356.517/0001-80;01/11/2022;1;30/11/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291953434.14;179382922.68;56701;316.366.418.017.319;0.0004;0;0.012277;0.012277;;
01.356.517/0001-80;01/12/2022;1;31/12/2022;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296279359.71;150760721.88;56701;265.887.236.345.038;0.0004;0;0.030513;0.030513;;
01.497.954/0001-14;01/01/2022;1;31/01/2022;6;;;;;;;;;;;;;;;;141063890.28;140290074.55;8703994;161.178.965.139.452;0.000134;0;0.001192;0.001192;0;0
01.497.954/0001-14;01/02/2022;1;28/02/2022;6;;;;;;;;;;;;;;;;141039388.46;140407306.19;8703994;161.313.652.318.694;0.000122;0;0.000836;0.000836;0;0
01.497.954/0001-14;01/03/2022;1;31/03/2022;6;3;3;;;;;;;;;;;;;;140872405.2;140352342.48;8703994;161.250.504.630.403;0.000119;0;-0.000391;-0.000391;0;0
01.497.954/0001-14;01/04/2022;1;30/04/2022;6;;;;;;;;;;;;;;;;140893411.23;140468385.37;8703994;161.383.826.057.325;0.000124;0;0.000827;0.000827;0;0
01.497.954/0001-14;01/05/2022;1;31/05/2022;6;;;;;;;;;;;;;;;;140881356.85;140370049.29;8703994;161.270.847.946.357;0.000123;0;0.003126;-0.0007;0.003826;0
01.497.954/0001-14;01/06/2022;1;30/06/2022;6;3;3;;;;;;;;;;;;;;140866233.17;140066549.05;8703994;160.922.157.172.902;0.000123;0;0.001227;-0.002162;0.003389;0
01.497.954/0001-14;01/07/2022;1;31/07/2022;6;;;;;;;;;;;;;;;;140824652.15;140157528.82;8703994;161.026.683.635.122;0.000122;0;0.00065;0.00065;0;0
01.497.954/0001-14;01/08/2022;1;31/08/2022;6;;;;;;;;;;;;;;;;140761162.41;140218824.86;8703994;161.097.106.523.741;0.000122;0;0.000437;0.000437;0;0
01.497.954/0001-14;01/09/2022;1;30/09/2022;6;3;3;;;;;;;;;;;;;;140881723.88;140441906.27;8703994;161.353.404.276.244;0.000124;0;0.001591;0.001591;0;0
01.497.954/0001-14;01/10/2022;1;31/10/2022;6;;;;;;;;;;;;;;;;140856250.73;140536838.48;8703994;161.462.471.688.285;0.000126;0;0.000676;0.000676;0;0
01.497.954/0001-14;01/11/2022;1;30/11/2022;6;;;;;;;;;;;;;;;;140866644.86;140528633.88;8703994;161.453.045.440.978;0.00013;0;0.001009;-5.8E-05;0.001067;0
01.497.954/0001-14;01/12/2022;1;31/12/2022;2;;2;;;;;;;;;;;;;;145652907.85;144992694.87;8703994;166.581.795.518.241;0.000154;0;0.034726;0.031766;0.00296;0
01.601.918/0001-59;01/01/2022;2;31/01/2022;1;;;;;;;;;;;;;;;;68200032.14;67541513.6;500000;1.350.830.272;0.000765;1.4E-05;-0.004785;-0.004785;0;0
01.601.918/0001-59;01/02/2022;1;28/02/2022;1;;;;;;;;;;;;;;;;68397834.84;67744670.17;500000;13.548.934.034;0.000726;1.5E-05;0.003008;0.003008;0;0
01.601.918/0001-59;01/03/2022;1;31/03/2022;1;;;1;;;;;;;;;;;;;68479560.52;67831932.43;500000;13.566.386.486;0.000725;1.5E-05;0.001288;0.001288;0;0
01.601.918/0001-59;01/04/2022;1;30/04/2022;1;;;;;;;;;;;;;;;;68372723.02;67729296.68;500000;13.545.859.336;0.000726;1.5E-05;-0.001513;-0.001513;0;0
01.601.918/0001-59;01/05/2022;1;31/05/2022;1;;;;;;;;;;;;;;;;68368325.33;67724898.99;500000;13.544.979.798;0.000726;1.5E-05;-6.5E-05;-6.5E-05;0;0
01.601.918/0001-59;01/06/2022;1;30/06/2022;1;;;1;;;;;;;;;;;;;68093100.99;67454183.36;500000;13.490.836.672;0.000729;1.5E-05;-0.003997;-0.003997;0;0
01.601.918/0001-59;01/07/2022;1;31/07/2022;1;;;;;;;;;;;;;;;;68103088.09;67471796.58;500000;13.494.359.316;0.000729;1.5E-05;0.000261;0.000261;0;0
01.601.918/0001-59;01/08/2022;1;31/08/2022;1;;;;;;;;;;;;;;;;68605267.74;67960506.57;500000;13.592.101.314;0.000724;1.5E-05;0.007243;0.007243;0;0
01.601.918/0001-59;01/09/2022;1;30/09/2022;1;;;1;;;;;;;;;;;;;68550445.85;67907019.51;500000;13.581.403.902;0.000724;1.5E-05;-0.000787;-0.000787;0;0
01.601.918/0001-59;01/10/2022;1;31/10/2022;1;;;;;;;;;;;;;;;;68424250.96;67780824.62;500000;13.556.164.924;0.000726;1.5E-05;-0.001858;-0.001858;0;0
01.601.918/0001-59;01/11/2022;2;30/11/2022;1;;;;;;;;;;;;;;;;73291117.51;72647691.17;500000;14.529.538.234;0.000677;1.4E-05;0.071803;0.071803;0;0
01.601.918/0001-59;01/12/2022;1;31/12/2022;1;;;1;;;;;;;;;;;;;73381732.16;72706172.88;500000;14.541.234.576;0.000716;1.4E-05;0.000805;0.000805;0;0
01.633.741/0001-72;01/01/2022;1;31/01/2022;320;;;;;;;;;;;;;;;;62434345.84;62418791.72;508008;122.869.702.288.153;0.000186;0;0.001194;0.001194;0;
01.633.741/0001-72;01/02/2022;1;25/02/2022;312;;;;;;;;;;;;;;;;62408615.72;62393527.4;508008;12.281.997.015.795;0.0001785;0;-0.000405;-0.000405;0;
01.633.741/0001-72;01/03/2022;1;31/03/2022;311;296;1;;;;;;6;;;;3;5;;;62391227.78;62379939.46;508008;122.793.222.665.785;0.000179;0;-0.000217;-0.000217;0;
01.633.741/0001-72;01/04/2022;1;29/04/2022;304;;;;;;;;;;;;;;;;62420542.41;62408846.6;508008;122.850.125.588.573;0.000185;0;0.000463;0.000463;0;
01.633.741/0001-72;01/05/2022;1;31/05/2022;297;;;;;;;;;;;;;;;;62453560.53;62419181.77;508008;122.870.470.091.022;0.000194;0;0.000165;0.000165;0;
01.633.741/0001-72;01/06/2022;1;30/06/2022;286;270;1;;;;;6;;;;;4;5;;;62424648.16;62300738.2;508008;122.637.317.128.864;0.000127;0;-0.000758;-0.001897;0.001139;
01.633.741/0001-72;01/07/2022;1;31/07/2022;285;;;;;;;;;;;;;;;;62371432.83;62318640.77;508008;12.267.255.785.342;0.000164;0;0.000287;0.000287;0;
01.633.741/0001-72;01/08/2022;1;31/08/2022;282;;;;;;;;;;;;;;;;62388020.81;62339721.97;508008;122.714.055.625.108;0.000164;0;0.000338;0.000338;0;
01.633.741/0001-72;01/09/2022;1;30/09/2022;280;264;1;;;;;;7;;;;4;4;;;62411888.64;62363589.8;508008;122.761.038.802.539;0.000164;0;0.000383;0.000383;0;
01.633.741/0001-72;01/10/2022;1;31/10/2022;282;;;;;;;;;;;;;;;;62423578.08;62366731.9;508008;122.767.223.941.355;0.000169;0;5.1E-05;5.1E-05;0;
01.633.741/0001-72;01/11/2022;1;30/11/2022;282;;;;;;;;;;;;;;;;62430764.2;62381144.65;508008;122.795.595.049.684;0.000171;0;0.000231;0.000231;0;
01.633.741/0001-72;01/12/2022;1;30/12/2022;280;264;1;;;;;;8;;;;3;4;;;60436952.63;60243274.12;508008;118.587.254.767.641;0.000183;0;-0.031745;-0.03427;0.002525;
01.636.325/0001-28;01/01/2022;1;31/01/2022;4;;;;;;;;;;;;;;;;265257250.88;264426847.82;234900;1.125.699.650.149;0.000132;0;-0.003386;-0.003386;0;0
01.636.325/0001-28;01/02/2022;1;28/02/2022;4;;;;;;;;;;;;;;;;266132060.71;265312466.93;234900;11.294.698.464.453;0.000132;0;0.003349;0.003349;0;0
01.636.325/0001-28;01/03/2022;1;31/03/2022;4;;4;;;;;;;;;;;;;;265121491.4;264328867.43;234900;112.528.253.482.333;0.000132;0;-0.003707;-0.003707;0;0
01.636.325/0001-28;01/04/2022;1;30/04/2022;4;;;;;;;;;;;;;;;;266188013.79;264374178.69;234900;112.547.543.077.905;0.000132;0;0.000171;0.000171;0;0
01.636.325/0001-28;01/05/2022;1;31/05/2022;4;;;;;;;;;;;;;;;;266476917.77;264708715.88;234900;112.689.959.931.886;0.000133;0;0.001265;0.001265;0;0
01.636.325/0001-28;01/06/2022;1;30/06/2022;4;;4;;;;;;;;;;;;;;267211532.76;265454428.34;234900;113.007.419.472.116;0.000133;0;0.002817;0.002817;0;0
01.636.325/0001-28;01/07/2022;1;31/07/2022;4;;;;;;;;;;;;;;;;267585804.05;265850051.01;234900;113.175.841.213.282;0.000163;0;0.00149;0.00149;0;0
01.636.325/0001-28;01/08/2022;1;31/08/2022;4;;;;;;;;;;;;;;;;268479697.75;266535171.59;234900;113.467.505.998.297;0.000134;0;0.002577;0.002577;0;0
01.636.325/0001-28;01/09/2022;1;30/09/2022;4;;4;;;;;;;;;;;;;;268219855.9;266354405.12;234900;11.339.055.134.951;0.000174;0;-0.000143;-0.000678;0.000535;0
01.636.325/0001-28;01/10/2022;1;31/10/2022;4;;;;;;;;;;;;;;;;269399615.99;267567696.69;234900;113.907.065.427.842;0.000148;0;0.005082;0.004555;0.000527;0
01.636.325/0001-28;01/11/2022;1;30/11/2022;4;;;;;;;;;;;;;;;;270323894.44;268420969.24;234900;114.270.314.704.129;0.000161;0;0.004039;0.003189;0.00085;0
